,station id,station name,station latitude,station longitude
427,531.0,Forsyth St & Broome St,40.71893904,-73.99266288
431,473.0,Rivington St & Chrystie St,40.72110063,-73.9919254
445,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976
447,3699.0,W 50 St & 9 Ave,40.76360467795863,-73.98917958140373
448,363.0,West Thames St,40.70834698,-74.01713445
451,3293.0,W 92 St & Broadway,40.7921,-73.9739
460,3283.0,W 89 St & Columbus Ave,40.7882213,-73.97041561
473,3547.0,Broadway & Moylan Pl,40.8143256,-73.9590255
479,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467
489,3158.0,W 63 St & Broadway,40.77163851,-73.98261428
494,128.0,MacDougal St & Prince St,40.72710258,-74.00297088
501,3383.0,Cathedral Pkwy & Broadway,40.804213,-73.96699104
504,311.0,Norfolk St & Broome St,40.7172274,-73.98802084
510,301.0,E 2 St & Avenue B,40.72217444,-73.98368779
520,3712.0,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889
523,3737.0,Stanton St & Norfolk St,40.720747,-73.986274
530,3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263
539,195.0,Liberty St & Broadway,40.70905623,-74.01043382
553,312.0,Allen St & Stanton St,40.722055,-73.989111
555,3671.0,E 81 St & 2 Ave,40.77477944895728,-73.95427465438843
558,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009
559,3508.0,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
562,3318.0,2 Ave & E 96 St,40.7839636,-73.9471673
569,3165.0,Central Park West & W 72 St,40.77579376683666,-73.9762057363987
571,3472.0,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
579,495.0,W 47 St & 10 Ave,40.76269882,-73.99301222
582,450.0,W 49 St & 8 Ave,40.76227205,-73.98788205
585,3443.0,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
591,499.0,Broadway & W 60 St,40.76915505,-73.98191841
598,3521.0,Lenox Ave & W 111 St,40.7987859,-73.9523
607,3435.0,Grand St & Elizabeth St,40.718822,-73.99596
614,257.0,Lispenard St & Broadway,40.71939226,-74.00247214
615,432.0,E 7 St & Avenue A,40.72621788,-73.98379855
617,3733.0,Avenue C & E 18 St,40.730563,-73.973984
630,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542
642,3498.0,Pleasant Ave & E 120 St,40.7974772,-73.9311847
648,2008.0,Little West St & 1 Pl,40.70569254,-74.01677685
652,456.0,E 53 St & Madison Ave,40.7597108,-73.97402311
654,3527.0,5 Ave & E 126 St,40.80698,-73.941747
657,3541.0,Amsterdam Ave & W 125 St,40.813358,-73.956461
659,297.0,E 15 St & 3 Ave,40.734232,-73.986923
675,3305.0,E 91 St & 2 Ave,40.78112229934166,-73.94965589046478
727,3686.0,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871246
737,3295.0,Central Park W & W 96 St,40.79127,-73.964839
740,328.0,Watts St & Greenwich St,40.72405549,-74.00965965
746,387.0,Centre St & Chambers St,40.71273266,-74.0046073
747,127.0,Barrow St & Hudson St,40.73172428,-74.00674436
776,3366.0,West End Ave & W 107 St,40.8021174,-73.9681805305
782,530.0,11 Ave & W 59 St,40.77149671054441,-73.99046033620834
